close,high,date,low,open,volume_from,volume_to,symbol,btc_price
3569.28,3745.82,2018-04-01,3510.71,3754.05,141727.49,505865095.51,DASH,85999.96
3801.26,3827.87,2018-04-02,3610.68,3569.28,115866.34,440438083.59,DASH,86998.95
4148.53,4153.06,2018-04-03,4001.76,3801.26,137025.64,568454978.31,DASH,92399.99
3687.12,3855.09,2018-04-04,3677.04,4148.53,106957,394363293.84,DASH,91599.97
3680.54,3724.59,2018-04-05,3611.57,3687.12,110270.29,405854213.16,DASH,84999.96
3522.77,3625.74,2018-04-06,3505.61,3678.88,112418.48,396024448.79,DASH,84790.02
3672.58,3803.04,2018-04-07,3660.64,3522.77,117008.33,429722452.59,DASH,86929.98
3798.17,3848.62,2018-04-08,3647.68,3672.58,134986.69,512702396.36,DASH,86489.91
3687.97,3789,2018-04-09,3664.59,3798.17,115428.91,425698357.21,DASH,88498.84
3685.21,3737.29,2018-04-10,3592.81,3688.76,116387.92,428913926.66,DASH,84498.97
3735.81,3737.49,2018-04-11,3649.18,3684.37,103712.54,387450344.06,DASH,84998.97
4255.53,4299.13,2018-04-12,4110.52,3766.41,107956.08,459410337.12,DASH,95498.88
4324.56,4602.63,2018-04-13,4288.84,4256.39,119016.73,514694989.89,DASH,100999.93
4395.07,4578.28,2018-04-14,4383.25,4324.56,95882.14,421408717.05,DASH,99798.93
4676.72,4731.91,2018-04-15,4536.7,4395.07,97739.88,457102051.59,DASH,103998.91
4442.28,4522.99,2018-04-16,4394.05,4676.72,92931.31,412826899.79,DASH,102988.98
4505.69,4588.82,2018-04-17,4381.48,4442.28,87636.45,394862676.4,DASH,101298.84
5165.94,5174.93,2018-04-18,4574.98,4505.69,114376.29,590861051.56,DASH,100497.98
5328.84,5366.52,2018-04-19,5060.97,5166.05,102475.7,546076609.19,DASH,102319.96
5674.69,5775.87,2018-04-20,5592.01,5336.52,104928.65,595437560.87,DASH,108999.89
5517.21,5786.83,2018-04-21,5439.86,5675.09,82812.02,456891304.86,DASH,113844.86
5909.99,6037.76,2018-04-22,5536.65,5565.38,94923.16,560994926.37,DASH,112889.44
6379.91,6661.27,2018-04-23,5895.14,5904.4,135711.83,865829261.34,DASH,112999.69
6684.79,7194.19,2018-04-24,6671.28,6379.91,111605.42,746058795.56,DASH,122999.72
5944.74,6224.2,2018-04-25,5724.35,6686.01,114748.7,682151186.84,DASH,123988.67
6455.83,6504.4,2018-04-26,6108.75,5944.74,102873.19,664131826.2,DASH,118455.57
6061.43,6270.36,2018-04-27,6006.32,6455.83,96614.28,585620695.22,DASH,119999.75
6295.38,6379.43,2018-04-28,6221.99,6061.43,94127.36,592567499.6,DASH,119659.82
6325.25,6364.57,2018-04-29,6193,6295.38,94991.65,600845934.16,DASH,120499.67
6057.4,6280.57,2018-04-30,6029.06,6322.87,101711.81,616109117.89,DASH,119417.82
6222.14,6419.2,2018-05-01,5984.96,6056.22,99827.91,621143231.93,DASH,118078
6296.35,6316.66,2018-05-02,6124.27,6222.14,94220.58,593245748.88,DASH,119499
6388.23,6614.97,2018-05-03,6378.32,6294.91,96976.16,619506014.6,DASH,124391.99
6287.42,6483.51,2018-05-04,6237.46,6386.99,106691.62,670815025.42,DASH,126999
6630.86,6646.26,2018-05-05,6406.28,6286.17,105610.38,700287644.33,DASH,129300
6321.95,6662.21,2018-05-06,6313.16,6630.86,85994.3,543651664.89,DASH,128824
6057.35,6264.43,2018-05-07,5980.47,6320.69,97861.91,592783840.54,DASH,126000
5894.84,6060.22,2018-05-08,5839.72,6058.59,100685.57,593525325.46,DASH,125999
5853.4,5922.28,2018-05-09,5611.1,5894.84,105085.91,615109865.59,DASH,124229.39
5559.65,5925.65,2018-05-10,5551.25,5853.4,101227.98,562792139.01,DASH,124500
5241.26,5528.31,2018-05-11,5109.55,5560.85,123134.28,645378776.39,DASH,120001
5390.23,5390.23,2018-05-12,5154.84,5242.38,86787.24,467803184.67,DASH,114699.94
5591.27,5643.85,2018-05-13,5467.41,5390.23,83186.73,465119467.85,DASH,118428.88
5732.75,5957,2018-05-14,5324.5,5590.1,132619.68,760275470.52,DASH,116999.93
5708.68,5847.91,2018-05-15,5534.35,5667.6,110257.71,629425983.92,DASH,115763
5383.13,5486.44,2018-05-16,5290.69,5710.99,93368.37,502614073.6,DASH,113201
5121.54,5332.85,2018-05-17,5118.34,5383.13,109920.07,562960035.31,DASH,110000
5231.62,5291.68,2018-05-18,5092.94,5121.54,119520.46,625285628.95,DASH,109197.81
5108.92,5286.07,2018-05-19,5104.55,5229.43,113898.74,581899550.76,DASH,111898.66
5317.33,5353.42,2018-05-20,5259.83,5108.92,109053.6,579873978.89,DASH,113186.92
5096.64,5267.08,2018-05-21,5091.07,5317.33,113181.64,576846073.69,DASH,113786.97
4759.73,4903.65,2018-05-22,4743.74,5096.64,112332.4,534671894.25,DASH,111402.93
4550.46,4579.6,2018-05-23,4407.75,4759.73,123173.64,560496721.87,DASH,107550.96
4551.23,4593.27,2018-05-24,4445.1,4550.46,135997.39,618955401.29,DASH,104498.95
4506.26,4578.9,2018-05-25,4418.71,4552.04,101964.25,459477421.21,DASH,101791.69
4321.13,4473.13,2018-05-26,4302.37,4506.26,119391.9,515907920.85,DASH,101495.27
4207.02,4327.62,2018-05-27,4185.45,4321.13,112783.96,474484375.4,DASH,99199.96
3841.01,4150.43,2018-05-28,3833.37,4206.04,147280.71,565706679.92,DASH,98494.96
4251.72,4326.66,2018-05-29,3995.92,3841.01,139457.27,592933264,DASH,100699.93
3999.71,4148.35,2018-05-30,3917.13,4251.72,122582.28,490293571.14,DASH,101554.86
4049.76,4143.25,2018-05-31,4040.81,3999.66,117451.65,475650994.1,DASH,100199.95
4173.91,4174.91,2018-06-01,4028.72,4049.76,123626.18,516004548.96,DASH,100497.96
4292.48,4342.36,2018-06-02,4214.1,4173.91,100872.3,432992330.3,DASH,101898.88
4367.42,4433.81,2018-06-03,4307.15,4292.48,105463.15,460601870.57,DASH,103433.82
4183.78,4287.73,2018-06-04,4111.51,4367.41,116589.79,487786031.61,DASH,102494.87
4223.41,4308.49,2018-06-05,4183.91,4183.78,122944.6,519245453.09,DASH,102198.86
4165.83,4237.64,2018-06-06,4140.54,4224.43,109487.78,456107478.56,DASH,101693.89
4208.64,4236.32,2018-06-07,4178.92,4165.83,116683.09,491077119.9,DASH,102998.82
4180.97,4228.12,2018-06-08,4101.02,4208.64,103351.3,432108684.76,DASH,103227.96
4056.2,4169.55,2018-06-09,3747.8,4180.97,127317.62,516425730.24,DASH,103227.91
3696.37,3781.6,2018-06-10,3612.07,4056.2,108019.54,399280187.07,DASH,102120.85
3687.77,3838.22,2018-06-11,3598.45,3696.01,98718.4,364050753.97,DASH,94027.89
3625.62,3745.47,2018-06-12,3532.31,3687.77,104257.85,377999346.12,DASH,94974.86
3403.07,3490.62,2018-06-13,3375.05,3623.79,249315.31,848437452,DASH,92598.86
3720.14,3773.73,2018-06-14,3581.54,3403.07,212539.92,790678257.99,DASH,92994.87
3560.44,3652.33,2018-06-15,3501.56,3721.99,284787.13,1013967489.14,DASH,92599.9
3728.07,3734.43,2018-06-16,3603.5,3561.33,248951.58,928108916.85,DASH,91446.37
3667.47,3728.29,2018-06-17,3623.65,3728.07,223412.34,819358054.58,DASH,90929.8
3684.02,3835.45,2018-06-18,3623.26,3667.47,272931.88,1005486504.56,DASH,94489.49
3648.52,3804.9,2018-06-19,3626.85,3684.02,286486.62,1045252162.8,DASH,96886.85
3717.66,3728.04,2018-06-20,3586.54,3649.08,165183.42,614095793.2,DASH,94424.89
3637.2,3739.51,2018-06-21,3625.94,3717.66,79227.51,288166299.37,DASH,94992.85
3387.7,3465.13,2018-06-22,3318.97,3637.34,92518.48,313424854.7,DASH,94048.81
3460.58,3548.39,2018-06-23,3410.53,3387.7,79267.15,274310313.95,DASH,88494.71
3365.89,3488.65,2018-06-24,3358.06,3460.57,172585.85,580904986.66,DASH,88399.94
3366.93,3453.8,2018-06-25,3366.93,3365.89,218120.75,734397296.8,DASH,88549.97
